t,Hs,Tp,Dir
1979-01-01T00:00:00,1.8575,12.097249999999999,53.902
1979-01-02T00:00:00,1.556,11.49625,55.641
1979-01-03T00:00:00,1.084625,10.14,57.486125
1979-01-04T00:00:00,0.83025,9.406125,59.41975
1979-01-05T00:00:00,0.640875,9.299875,60.156625
1979-01-06T00:00:00,0.5473750000000001,9.611625,60.42125
1979-01-07T00:00:00,0.40900000000000003,10.023625,59.151375
1979-01-08T00:00:00,0.38025,9.82825,59.6885
1979-01-09T00:00:00,0.37024999999999997,9.20875,57.125375
1979-01-10T00:00:00,0.46037500000000003,10.779375,48.188625
1979-01-11T00:00:00,0.383625,10.682375,47.164125
1979-01-12T00:00:00,0.40475,9.977875,50.541
1979-01-13T00:00:00,0.7645,9.699875,53.438375
1979-01-14T00:00:00,0.7585,9.636875,55.981375
1979-01-15T00:00:00,0.715,9.05975,58.06175
1979-01-16T00:00:00,0.725375,8.80625,58.556375
1979-01-17T00:00:00,0.840125,7.886,61.078625
1979-01-18T00:00:00,0.9672499999999999,8.348125,60.936
1979-01-19T00:00:00,1.229375,9.926375,48.77575
1979-01-20T00:00:00,1.142625,8.799875,47.98875
1979-01-21T00:00:00,0.9875,9.952625,54.621875
1979-01-22T00:00:00,0.71275,9.992,54.639875
1979-01-23T00:00:00,0.48612500000000003,9.878625,53.823875
1979-01-24T00:00:00,0.59375,10.358,52.10225
1979-01-25T00:00:00,0.76025,10.551375,54.73475
1979-01-26T00:00:00,0.794875,10.483125000000001,56.823375
1979-01-27T00:00:00,0.9376249999999999,10.594625,56.49425
1979-01-28T00:00:00,1.451875,10.578125,55.13825
1979-01-29T00:00:00,1.23025,10.33925,57.138
1979-01-30T00:00:00,0.7765,10.17525,55.8215
1979-01-31T00:00:00,0.8345,9.773125,55.78725
1979-02-01T00:00:00,0.876125,9.319374999999999,55.156625
1979-02-02T00:00:00,1.178875,9.23525,57.02375
1979-02-03T00:00:00,1.2035,9.27775,61.689625
1979-02-04T00:00:00,2.38575,10.612125,53.105000000000004
1979-02-05T00:00:00,1.732375,11.29675,42.07475
1979-02-06T00:00:00,1.144625,9.2755,44.52975
1979-02-07T00:00:00,0.9205,11.33125,48.138374999999996
1979-02-08T00:00:00,0.8325,11.15575,52.84675
1979-02-09T00:00:00,0.75775,11.068249999999999,54.55025
1979-02-10T00:00:00,0.720125,10.46275,54.524
1979-02-11T00:00:00,0.722375,10.735125,52.899875
1979-02-12T00:00:00,0.72975,11.32425,51.673875
1979-02-13T00:00:00,0.771375,10.553374999999999,52.509
1979-02-14T00:00:00,0.672625,10.173,53.16225
1979-02-15T00:00:00,0.7655,9.453625,47.064375
1979-02-16T00:00:00,0.977625,6.6053749999999996,33.568374999999996
1979-02-17T00:00:00,1.301125,5.69125,31.139375
1979-02-18T00:00:00,0.8525,8.90225,51.78575
